state,session,chamber,bill_id,title,created_at,updated_at,type,subjects,serialid,serial_464208c8_41a1_4999_a4ad_858be4add44b
ny,2011-2012,lower,A 10010,Prohibits the sale of sugar sweetened beverages at food service establishments and vending machines located on government property,2012-05-02T00:00:00,2012-10-16T00:00:00,bill,Health,14,13
ny,2011-2012,lower,A 10011,Prohibits smoking on campuses and facilities owned or operated by the state university of New York,2012-05-02T00:00:00,2012-10-16T00:00:00,bill,Health,15,14
ny,2011-2012,lower,A 10013,"Includes difluoroethane in the definition of a ""hazardous substance"" and requires warning labels on products containing difluoroethane",2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,17,16
ny,2011-2012,lower,A 10016,Provides for the inclusion of weight control in the health care and wellness education and outreach program,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,20,19
ny,2011-2012,lower,A 10018,Requires hospitals to offer an anti-viral prophylaxis to high-risk infants for the prevention of respiratory syncytial virus,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,22,21
ny,2011-2012,lower,A 10024,Relates to the powers of the commissioner; technical amendments,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,29,28
ny,2011-2012,lower,A 10025,Relates to compulsive gambling assistance,2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,30,29
ny,2011-2012,lower,A 10039,Establishes Lauren's law requiring the commissioner of health to ask applicants about joining the donate life registry on consent applications,2012-05-04T00:00:00,2012-10-16T00:00:00,bill,Health,46,45
ny,2011-2012,lower,A 10042,Relates to the distribution of grants for the health workforce retraining program,2012-05-04T00:00:00,2012-10-16T00:00:00,bill,Health,50,49
ny,2011-2012,lower,A 10059,Relates to the sale or purchase of human body parts,2012-06-01T00:00:00,2012-10-16T00:00:00,bill,Health,68,67
ny,2011-2012,lower,A 10078,Transfers the operation of the alcohol and drug rehabilitation program from the department of motor vehicles to the office of alcoholism and substance abuse services; repealer,2012-08-28T00:00:00,2012-10-16T00:00:00,bill,Health|Legal Issues,90,89
ny,2011-2012,lower,A 10094,Relates to payments to rural critical access hospitals,2012-06-17T00:00:00,2012-10-16T00:00:00,bill,Health,108,107
ny,2011-2012,lower,A 10095,Allows body piercing with parental or guardian consent for persons under the age of 18,2012-06-17T00:00:00,2012-10-16T00:00:00,bill,Health,109,108
ny,2011-2012,lower,A 10103,"Waives interest and penalties due on surcharges and assessments due prior to January 1, 2012, relating to payments to health care providers",2012-10-16T00:00:00,2012-10-16T00:00:00,bill,Health,119,118
ny,2011-2012,lower,A 10110,Relates to extending the effective date for chapter 119 of the laws of 1997,2012-06-12T00:00:00,2012-10-16T00:00:00,bill,Health,128,127
ny,2011-2012,lower,A 10141,Prohibits smoking within 100 feet of the entrances or exits of any public or private educational institutions,2012-05-11T00:00:00,2012-10-16T00:00:00,bill,Health,162,161
ny,2011-2012,lower,A 10149,"Includes eating disorders awareness, prevention, reduction and treatment within the health care and wellness education and outreach program",2012-06-01T00:00:00,2012-10-16T00:00:00,bill,Health,171,170
